"Year","Name","Amount (t)"
1983,"Products from non-metallic minerals",-695588.95
1983,"Waste for final treatment and disposal",385.77
1984,"Biomass",61423210.85
1984,"Excavated earthen materials (including soil) nec",0
1984,"Fossil fuels",2056000
1984,"Metal ores",225686.86
1984,"Mixed and complex products nec.",6599.64
1984,"Non-metallic minerals",6995774.56
1984,"Products from biomass",-46557.14
1984,"Products from fossil fuels",-455136.25
1984,"Products from metals",65068.96
1984,"Products from non-metallic minerals",-592711.2
1984,"Waste for final treatment and disposal",714.59
1985,"Biomass",66954742.75
1985,"Excavated earthen materials (including soil) nec",0
1985,"Fossil fuels",2067000
1985,"Metal ores",203019.77
1985,"Mixed and complex products nec.",4515.99
1985,"Non-metallic minerals",6582292.02
1985,"Products from biomass",-54629.49
1985,"Products from fossil fuels",-462013.04
1985,"Products from metals",40666.47
1985,"Products from non-metallic minerals",-458403
1985,"Waste for final treatment and disposal",1242.96
1986,"Biomass",69303118.68
1986,"Excavated earthen materials (including soil) nec",0
1986,"Fossil fuels",2085000
1986,"Metal ores",258861.34
1986,"Mixed and complex products nec.",1307.61
1986,"Non-metallic minerals",9381789.17
1986,"Products from biomass",-60120.33
1986,"Products from fossil fuels",-439206.9
1986,"Products from metals",63403.8
1986,"Products from non-metallic minerals",-431160.38
1986,"Waste for final treatment and disposal",944.54
1987,"Biomass",66904114.19
1987,"Excavated earthen materials (including soil) nec",0
1987,"Fossil fuels",2221000
1987,"Metal ores",293583.12
1987,"Mixed and complex products nec.",4620.95
1987,"Non-metallic minerals",10261469.17
1987,"Products from biomass",-59857.44
1987,"Products from fossil fuels",-336438.93
1987,"Products from metals",54244.47
1987,"Products from non-metallic minerals",-289536.04
1987,"Waste for final treatment and disposal",469.97
1988,"Biomass",71566186.86
1988,"Excavated earthen materials (including soil) nec",0
1988,"Fossil fuels",2154000
1988,"Metal ores",322759.9
1988,"Mixed and complex products nec.",16229.71
1988,"Non-metallic minerals",9475951.85
1988,"Products from biomass",-52328.52
1988,"Products from fossil fuels",-452394.14
1988,"Products from metals",64286.62
1988,"Products from non-metallic minerals",-279988.21
1988,"Waste for final treatment and disposal",157.22
1989,"Biomass",74479168.42
1989,"Excavated earthen materials (including soil) nec",0
1989,"Fossil fuels",2232000
1989,"Metal ores",15933.46
1989,"Mixed and complex products nec.",-26
1989,"Non-metallic minerals",9287847.95
1989,"Products from biomass",-47211.02
1989,"Products from fossil fuels",-447000
1989,"Products from metals",0
1989,"Products from non-metallic minerals",0
1989,"Waste for final treatment and disposal",0
1990,"Biomass",74032457.59
1990,"Excavated earthen materials (including soil) nec",0
1990,"Fossil fuels",2329000
1990,"Metal ores",428906.54
1990,"Mixed and complex products nec.",4507.37
1990,"Non-metallic minerals",12186422.82
1990,"Products from biomass",-48307.7
1990,"Products from fossil fuels",-306461.29
1990,"Products from metals",41731.31
1990,"Products from non-metallic minerals",33194.06
1990,"Waste for final treatment and disposal",0.05
1991,"Biomass",74690161.33
1991,"Excavated earthen materials (including soil) nec",0
1991,"Fossil fuels",2191000
1991,"Metal ores",238990.26
1991,"Mixed and complex products nec.",8571.46
1991,"Non-metallic minerals",11008701.82
1991,"Products from biomass",-78413.25
1991,"Products from fossil fuels",-515908.24
1991,"Products from metals",32984.02
1991,"Products from non-metallic minerals",-254980.41
1991,"Waste for final treatment and disposal",196.36
1992,"Biomass",74312358.08
1992,"Excavated earthen materials (including soil) nec",0
1992,"Fossil fuels",2393000
1992,"Metal ores",173339.12
1992,"Mixed and complex products nec.",3498.03
1992,"Non-metallic minerals",10586872.87
1992,"Products from biomass",-116814.34
1992,"Products from fossil fuels",-462808.73
1992,"Products from metals",25487.41
1992,"Products from non-metallic minerals",-364434.98
1992,"Waste for final treatment and disposal",1481.33
1993,"Biomass",72847558.97
1993,"Excavated earthen materials (including soil) nec",0
1993,"Fossil fuels",2405000
1993,"Metal ores",303915.4
1993,"Mixed and complex products nec.",2878.91
1993,"Non-metallic minerals",7711448.87
1993,"Products from biomass",-169017.75
1993,"Products from fossil fuels",-186259.04
1993,"Products from metals",30759.87
1993,"Products from non-metallic minerals",-558650.53
1993,"Waste for final treatment and disposal",1125.04
1994,"Biomass",77677705.4
1994,"Excavated earthen materials (including soil) nec",0
1994,"Fossil fuels",2282000
1994,"Metal ores",300531.86
1994,"Mixed and complex products nec.",3691.52
1994,"Non-metallic minerals",8423129.44
1994,"Products from biomass",-172068.87
1994,"Products from fossil fuels",-18283.01
1994,"Products from metals",45767.64
1994,"Products from non-metallic minerals",-1316451.78
1994,"Waste for final treatment and disposal",1294.82
1995,"Biomass",76294589.14
1995,"Excavated earthen materials (including soil) nec",0
1995,"Fossil fuels",2018000
1995,"Metal ores",309812.25
1995,"Mixed and complex products nec.",8478.41
1995,"Non-metallic minerals",10685746.89
1995,"Products from biomass",-134332.47
1995,"Products from fossil fuels",460022.93
1995,"Products from metals",68124.73
1995,"Products from non-metallic minerals",-397370.85
1995,"Waste for final treatment and disposal",1413.89
1996,"Biomass",71475848.25
1996,"Excavated earthen materials (including soil) nec",0
1996,"Fossil fuels",2082000
1996,"Metal ores",545166.28
1996,"Mixed and complex products nec.",11644.78
1996,"Non-metallic minerals",10371768.32
1996,"Products from biomass",-129182.43
1996,"Products from fossil fuels",856170.5
1996,"Products from metals",70418.65
1996,"Products from non-metallic minerals",-556224.74
1996,"Waste for final treatment and disposal",5797.85
1997,"Biomass",73051795.51
1997,"Excavated earthen materials (including soil) nec",0
1997,"Fossil fuels",1925000
1997,"Metal ores",607088.32
1997,"Mixed and complex products nec.",21916.58
1997,"Non-metallic minerals",7297139.99
1997,"Products from biomass",-110585.07
1997,"Products from fossil fuels",746068.68
1997,"Products from metals",72456.09
1997,"Products from non-metallic minerals",-632161.48
1997,"Waste for final treatment and disposal",18241.78
1998,"Biomass",74382296.66
1998,"Excavated earthen materials (including soil) nec",0
1998,"Fossil fuels",2231000
1998,"Metal ores",447520.27
1998,"Mixed and complex products nec.",21542.16
1998,"Non-metallic minerals",40951799.44
1998,"Products from biomass",-78994.93
1998,"Products from fossil fuels",1103657.5
1998,"Products from metals",72116.33
1998,"Products from non-metallic minerals",-348166.32
1998,"Waste for final treatment and disposal",50470.17
1999,"Biomass",77800448.16
